============================================================
DRIVER PREDICTION REPORT
============================================================

True driver:        _FEFH030_
Model:              random_forest
Test rounds:        6 & 7
Segments evaluated: 26

Predicted driver:   _FEFH030_
Accuracy:           CORRECT

Agreement:   84.6%  (22/26 segments voted for true driver)
Confidence:  29.7%  (mean RF tree posterior probability per segment)

Weighted Vote Distribution:
----------------------------------------
  _FEFH030_      :   39.5 pts  ( 84.9%)  ################
  _NIDL241_      :    3.0 pts  (  6.5%)  #
  _SHMM240_      :    2.0 pts  (  4.3%)  
  _MIBE102_      :    2.0 pts  (  4.3%)  

Per-Segment Predictions:
----------------------------------------
    #  Zone     Weight  Predicted        Confidence  Correct?
  ---  -------- ------  ---------------  ----------  --------
    1  apex        3.0  _FEFH030_             21.4%  yes
    2  straight    1.0  _FEFH030_             33.6%  yes
    3  straight    1.0  _FEFH030_             22.8%  yes
    4  mitte       2.0  _SHMM240_             20.9%  no
    5  straight    1.0  _FEFH030_             34.3%  yes
    6  straight    1.0  _FEFH030_             44.1%  yes
    7  straight    1.0  _FEFH030_             25.0%  yes
    8  straight    1.0  _MIBE102_             30.3%  no
    9  straight    1.0  _MIBE102_             22.7%  no
   10  eingang     1.5  _FEFH030_             34.5%  yes
   11  apex        3.0  _FEFH030_             25.6%  yes
   12  apex        3.0  _FEFH030_             26.7%  yes
   13  apex        3.0  _FEFH030_             19.4%  yes
   14  apex        3.0  _FEFH030_             22.9%  yes
   15  apex        3.0  _FEFH030_             29.4%  yes
   16  straight    1.0  _FEFH030_             43.9%  yes
   17  straight    1.0  _FEFH030_             33.7%  yes
   18  apex        3.0  _FEFH030_             42.7%  yes
   19  straight    1.0  _FEFH030_             53.4%  yes
   20  straight    1.0  _FEFH030_             22.1%  yes
   21  straight    1.0  _FEFH030_             35.8%  yes
   22  straight    1.0  _FEFH030_             37.8%  yes
   23  straight    1.0  _FEFH030_             27.3%  yes
   24  apex        3.0  _FEFH030_             26.5%  yes
   25  apex        3.0  _NIDL241_             21.8%  no
   26  mitte       2.0  _FEFH030_             13.1%  yes
